,title,rating,content
10,Ok,4,Good
11,Ok,4,Ok
12,Maggi,4,Best price
13,Good,4,👌
14,Superb,5,It will help you when you feel hungry at the middle of the night
15,OK,5,OK
16,Good,4,Good
17,Nice,5,Same as described...same no. Of packets of maggie received
18,Damage packing ants inside,4,"The media could not be loaded.
                








The ants kept the packages completely.. and bite my hands while separating the packets. But my family love eating Maggie eagerly."
19,ं,5,Product quality and size in case of clothes is important. Some times my wife didn't get the replacement from delivery agencies. They say give feedback to Amazon. Other wise nice shoping experience.
20,Received COD in cash,4,Well product
21,Good,3,Good
22,Yummy,5,Very tasty
23,Quality,4,Very tasty easy to made
24,Good product,5,Good product
25,Ok,5,Ok
26,Very popular,5,Good
27,Good,4,Good
28,Yummy,4,Yummy
29,product,5,Good
30,GOOD,4,VALUE FOR MONEY IF YOU BUY IT AT OFFER
31,Good,4,Not bad.  No selling that’s why make promotion
32,Good,5,Good
33,Value for money,5,Discount lga k shi h
34,Good,5,Nice
35,Nice,5,Nice & tasty as always
36,Good,4,Nice
37,Good product.,4,Worth buying.
38,Perfect for light meal,4,Softness and good masala taste. There is nothing to dislike
39,Same taste and always,5,Combo pack comes cheaper hence the purchase.
40,Good,5,Worth for money 💰
41,Haripada Nayak,4,Product IsVery Nice...
42,Its maggi what did you expect.,4,"Meh.
Buying them in bulk was not a good idea, I got lazy and just ate them for 3 weeks.
Few were broken but not enough to affect my review."
43,Maggie taste,5,2minute Maggie taste is very good
44,Original quality,5,Authentic seller
45,Good product,4,It's worth to buy
46,Yum 🤤,5,"Maggie packs were properly packed.
 Quick recipe 🍜 :
In a pan put some butter and then add some cumin seeds and then some chopped ginger and garlic and let it fry then add some onion and cook for another one minute, now add some vegetables of your choice, I love adding a lots of veggies and then add your Maggie masala and fry it until cooked then put water and let the water boil and add the Maggie and let it boil.
The delicious desi Maggie is ready .Garnish the Maggie with some fresh coriander and chopped green chilli ."
47,Good,4,Testy
48,Good,5,Happy
49,Tasty,5,Very testy I love it
50,Gud,4,Ok
51,Good,4,Good product
52,Good one,4,Good one
53,Good taste,3,Good taste
54,Maggi is emotion...,5,Actually maggi is not easily available in my area even though sunfeast yippee is...and i love that but maggi is nostalgia so Thank you Amazon 😊...
55,Maggi,5,Good
56,Good to buy bigger pack,5,Great buy
57,Good,5,Good Good
58,Taste,4,Taste is so good.
59,Awesome,5,Good
60,K,5,Good taste
61,Maggi,4,Good product and packaging was also very good.
62,Good product and value for money.,4,Good product and value for money.
63,Good,5,Good
64,Best product received,5,Maggie received in good condition
65,Noodle,3,Ok. How they are preparing. Is it vegetarian or non veg. Detail to be explain on its wall and advertise too.
66,Impressive!,4,"If you are a Maggi addict, get this product."
67,Duplicate Maggi received,1,"The taste of the Maggi was not at all like the real Maggi and it was a duplicate Maggi, there was some kind of smell in it which doesn't come from the original one.
I recommend not to buy it as it will not be good for your health."
68,"It's maggi, you know it, everyone knows it, what else to say",5,Cheap ramen go brrrrr
69,Maggie,2,It's all powder like peices which I don't like
70,Nice,5,Tasty
71,Not too good for health,3,Test is ok but not too good for health .please eat home food best for your health
72,Tasty maggi 😊,5,"Well Maggi is tasty . It's same what we buy from normal shop. In a big box there is a transparent big plastic and 12 packets of ( 14rs each ) Maggi is there . Expiry date is quite far , mine is next year in 2024 , not exactly remember the month but its sure that u will finish it much before the date of expiry."
73,All are good,4,"Good
products"
74,Nice,5,Nice
75,Good,4,Good in taste
76,Good product,5,Good taste
77,Dead ants ..,4,"Inside 4 packets , there us dead ants...i am so disappointed 😞 😔"
78,Amazing,5,So many in the market but nothing good like Maggie fresh full of taste and value for money
79,Kam hai maarpeet ka Mal aaya hai,5,Mal kam MRP ka aaya hai
80,Maggi is best product of nestle,5,"Can't say much about Maggi ,memories Indians have about Maggi is endless"
81,Not a regular snack for consumption,3,"Everyone's favourite snack, noodles, eliminate sporadic food cravings. prepares in well under two minutes. They are available in packs for Rs 5/- and are very reasonably priced. Maggi helps me a lot to satisfy my appetite and makes me feel happy whenever I have random desires for food. However, Maggi should only be consumed once a month for health reasons.  After reading several food-related blogs behind Kalnirnay Calendar and viewing reels, it should not be ingested."
82,Always delicious,5,How could you not love these they're almost a staple especially for students
83,Maggie noodles,5,Taste good 😋
84,Prefer this product over other,2,"Maggie as the name served as a good option if u r starving, the content size is not appropriate as for 14/- I recommend take 10/- rupee pack that is a better alternative"
85,Good,4,Easy snacking option
86,Savings pack,5,You get 12 pieces at once at a reduced price so it’s budget friendly
87,Good product,5,"Same thing you buy on market, but you can get small discount here"
88,Meghi,3,Ok product using it not frequently in market there are few other brands also providing the same quality food alongwith masala
89,Ok,4,Kk
90,A Quick and Flavorful Delight,5,"MAGGI 2-Minute Instant Noodles in the 840g pack, containing 12 pouches of 70g each, offers a convenient and tasty solution for a quick and satisfying meal. After indulging in these instant noodles, I found them to be a delightful and flavorful choice, leading me to give them a four-star review.The masala flavor of MAGGI Instant Noodles is a beloved classic that appeals to taste buds across generations."
91,quality,4,good
92,good,2,Good
93,Product was about to expire due to which product quality was degraded & it was non-refundable too !!,2,Had a great expectation but I received the product which was about to expire due to which product quality was degraded & more over it was non-refundable - that's too unprofessional !!
94,Nice,4,Good product.ok
95,"Packets are at the verge of expiration, taste is not as good , had ants",1,"Packets are at the verge of expiration, taste is not as good as recently manufactured packet, had ants.
The taste is awkward due to nearness to expiration date. The recent delivery had ants in one of the packets. Not recommended"
96,Good,5,Good
97,Nice,4,Good product
98,Time consuming,5,It can’t be prepared in 2 mins
99,Good,4,Good
