,title,rating,content
10,So far so good,5,"Bought this phone with a bit of trepidation because 3 of the 7 Samsung phones I have bought prior to this one  - either for myself or family - have developed a screen issue, Although only one was serious enough to require a visit to the service center. Thought of switching to a different company but seeing as all of them usually end up with some issue or the other, and the ratings of most of them end up around 4 stars anyway, I decided to stick with the known devil. And besides the display issue, most have served for a good time, including its ancestor, the M30, that this will replace. That too developed a screen issue but it was after 4 years of use so not complaining too much.
Initial impressions so far has been decent. They have finally got rid of the water drop notch and gone with the punch hole in the M3x series, so that is good, it looks nicer. Even the overall design has been upgraded to bring it closer to the flagship S series with the flat sides and no camera island. No sharp edges either, so it is not uncomfortable to hold... except for the weight.
Samsung phones, particularly the non flagship ones, are heavier than they should be for some reason (comparing to similarly spec'd phones by other companies), And this one is on the heavier side even among those at 222g. My primary phone too is heavy (not Samsung) so I am used to it, but I would nonetheless like a lighter phone. My father's M52 which has a 5000mah battery is 50g lighter and so much more comfortable in the hand and the pocket.
If you add a case and a screen protector, the weight will increase even further so note that. The 6000mah battery however does its job and the phone is lasting me 1.5 - 2 days between charge. I'm not a heavy user though, no gaming or constant camera usage and such so your mileage may vary.
I like the fingerprint sensor in the power button, very responsive. Better than the in display type I think. It supports sd card (hybrid sim - sd card) so that's good. The base 128gb model should be enough because of this, can upgrade storage with an sd card when needed.
They have dropped the audio jack, but I have moved on to wireless so not a concern for me but I know there are die hard fans. A related drawback though is that FM radios are no longer possible since they need a wired earphone to act as antenna. I didnt use it too frequently but it was nice to have for those rare occasions.
Not much of a camera guy so cant comment on how good or bad it is. Didn't notice any slowness or other issues, works well enough for my basic needs. No heating either - it was slightly warm during charging which is normal and again a little bit during video recording and the like, but that was barely so, less than during charging. I dont really do too many heavy processing type tasks, or even gaming.
For regular needs this phone should be fine I think. If it stays this way for a few years I think I will be happy with this phone. On paper it seems to be a good phone at a decent price. I took a gamble by buying it soon after launch, without waiting for reviews. I havent noticed any drawbacks so far and hopefully it wont give me any reason to regret later on. Fingers crossed. Giving it 5 stars for now, will update if anything happens."
11,"Excellent Camera and Display, but Buggy Apps Hold it Back",4,"Here's a review:
Rating: 4/5
I've been using the M35 for a few weeks now, and I must say, the camera and display are truly exceptional. The camera captures stunning images with great detail and color accuracy, making it perfect for photography enthusiasts. The display is vibrant and crisp, with great viewing angles and brightness.
However, my experience with the M35 has been somewhat marred by the presence of bloatware apps that can't be uninstalled. These apps not only take up valuable storage space but also slow down the phone's performance. I've noticed occasional lag and freezing issues, which can be frustrating.
If the manufacturer could streamline the software and remove the unnecessary apps, the M35 would be a nearly flawless device. As it stands, it's still a great option for those who prioritize camera quality and display, but may not be the best choice for those seeking a seamless, bloat-free experience.
Pros:
- Excellent camera performance
- Vibrant and crisp display
- Good battery life
Cons:
- Bloatware apps slow down performance
- Occasional lag and freezing issues
- No option to uninstall unwanted apps"
12,Great phone with one defect,4,"I liked the phone overall. Camera is great at this price, battery is great, display is good too. Bit heavy, I would suggest to use think cover. I found one defect that the front camera lens and circular notch are not aligned. I raised the issue to Amazon and next day they provided me replacement, but I got the same defect in other piece as well. I observed in many ways, but I still see the offset. Small issue but it doesn't affect the performance of this phone."
13,Decent performance and battery life,4,"IMPORTANT: For those who need it, there is no 3.5 mm jack on this phone. I noticed it after receiving but as we use bluetooth headphones, it was not a dealbreaker.
Got it for 17k during the sale. Though it shows 16k on the product page, the process of cashback of 1k as amazon pay balance is not clear.
Had ordered this for kid. So usage profile is mostly school apps, youtube, google meet, roblox etc. Not used for gaming much so heating etc is not faced yet. Battery life is awesome (3+ days) with mild usage (2-3 hrs screen time per day).
I use this phone for tracking kid's location to/from classes so location sharing is always on.
Camera is barely used by us and seems ok at this pricepoint.
5G connectivity (checked only with vodafone) is good. Voice is clear during calls without the need of wifi calling setting.
Will update if i find anything annoying/bad. As of now its a decent phone at a slightly higher price point."
14,Customization at its best... 🔥🔥,4,"1. The software experience is amazing.
2. Phone is fast enough for normal usage.
3. It takes 1hr 40 mins to charge fully. I've no problem about it. It's okay.
4. Camera is okay for normal usage.
5. The thing I miss in One UI is app lock. 😢
6. I was expecting a slimmer phone. It disappoints me here.
7. Samsung please make compact phone under 20K. Please. 🙏"
15,Best phone if you're buying with offers,4,"5 ⭐ any day, the phone is great, the display is similar to the one used in iPhones. the battery lasts for a day unlike other brands smartphone. 5G reception is great too and the software is lag free. it's everything one could ask for in 15,999 !!
Only gave it 4 stars because of the shipping issues i faced. I ordered on 19th and i received the phone on 26th."
16,Samsung M35,4,"I purchased the phone on the launch, good phone at 16,999 price. Camera 5/5, performance 5/5, design & build quality 5/5, clean Stock Android, I noticed when phone is on 5g network battery will drain fast, so samsung need to fix it, battery I am not sure - optimization required, Heating issues too.
overall good phone in fact balanced phone."
17,M 35 5 G,4,"It's value for money phone.Camera, processor output as per expectations. Little bit Heating issue."
18,Chaging is very slow,4,"Charger not provided with this phone. Only cable and using any other 25 watt adapter, it takes almost 2hrs to complete charge.
At least recommend  which adapter is acceptable?"
19,Satisfied,4,Good for normal use. Selfie camera is below average.
20,Velu for money,4,"Best samsung mobail , hardware and software"
21,Valu for money,4,"All over performance is too good.
Only weight is the issue.
Such a gem"
22,Value for money,4,Overall performance good
23,Decent phone,4,"YouTube 2160 60fps is not supported in this device.
Device is bulky and heavy"
24,Average phone,4,Go for display and samsung one ui software. Camera is average. Phone has more weight.
25,best budget phone till now from sumsung,5,just go for it if you want it for normal usage/business use. overall balanced phone with loads of useful features  plus good software support /experience and made in India! {not for heavy gaming bros}people complaining about weight but after few days you wont notice the weight. 25w charging might be and issue for some but for me i put it to charge at night also slow charging is good for battery health! processor is not for heavy gaming. casual is fine. go for 8 gb ram if you wont to use it for long term! the main purpose i bought this phone cause of Samsung's ui . most of these Chinese phones provide many great specs for cheap price but they don't focus on software experience . having great specs without stable software is a n horrible experience and don't let the device to work at its full potential.
26,Almost Paisa Vasool phone,5,"i got my phone on 21st July 2024 Samsung Galaxy M35 5G , 6GB & 128 GB (DayBreak Blue).
After using my phone for 5 days i m writing this review..
This is a great value for money phone.
The screen is fluid ,punchy and razor sharp with good brightness even in outdoor (past few days there is no harsh sunlight so can’t get that perspective).
Screen refresh rate is nice as it delivers 120Hz speedy screen.
Call quality and Network reception is also good.
Battery backup is good.
You can do gaming upto 60Hz though not a gaming phone.
Widevine L1 support is available so the Netflix , amazon prime video and other streaming apps worked fine and because the phone also has Dolby Atmos support the sound got better and crisp.
it’s a value preposition even i got a security patch update yesterday.
i will highly recommend you all if any one is there to do a Smartbuying cause it has all the features that are there in Samsung Galaxy A35 5G  in a price less than 7k . i recommend this phone to everyone except Gamers ."
27,Fabulous Mobile in Budget Price,5,"I bought this mobile for my father and he was so happy to get this mobile. I am pointing out some major things about this mobile.
1) Camera - Good in this budget price. It has Sony sensor so capturing good quality photos. 4/5
2) Display - Super Amoled with 120Hz refresh rarte so no doubt it's good. 5/5
3) Speakers - Dolby on Speakers is excellent. Loud and crispy sound quality. 5/5
4) Heating - Little bit of heating issue is there but it's negligible. 4/5
5) Call Quality - Call quality is excellent as it has a dedicated voice focus feature. 5/5
6) Call Recoding - Obviously call Recoding feature is available. 5/5
7) Software update - It has 4 years of OS update and 5 Years of Security Patch updates which is excellent in this budget mobile. 5/5
8) Fingerprint - I mostly like Physical Fingerprint rather than In display. Depends on you choice. It's working perfectly and very much sensitive. 5/5
9) Battery - It has 6000 mAh gigantic Battery last longer for 1 and half day midum of usage. 5/5
10) Performance - Exynos 1380 4nm processor Performance really surprised me. It can handle havy tasks easily so no doubt but remember this is not a gaming processor or mobile. 4.5/5
11) Others - It has a dedicated vapour cooling chamber so the generated heat from the processor distributed to the whole surface to cool the mobile faster. 5/5
Overall this budget mobile is absolutely fabulous mobile from samsung."
28,Good phone under 20k,5,"Overall a very good phone. Bought for my mom & she
is happy with the performance. Screen & build quality is also good. Battery backup last easily for 1.5 days for moderate user.
Dual speakers are load clear & great. Camera is also good with all basic & fun features. Connectivity also no issues found. All sensors available.
Good upgrade compared to M34. Definitely can consider under 18k. Samsung good job."
29,value for money purchase,5,"bought this for my mother , got the 256 gb version for 19 k during sale, the device is sturdy, battery backup is easily 1.5 days, camera images quite good for a device at this range, sharp voice output, vivid display. heating issue is minor its better if you dont play games on this. device will definitely last a person more than 3 years. keep the display 60 hz to prevent battery drain."
30,Great deal 👌,5,"It works amazingly great. Love the finish even though has a plastic back ,but gives a premium vibe Wille holding . Overall phone and specs are good but I found some bugs here and there (as it is freshly launched) , but will surely get fixed in the upcoming updates by Samsung"
31,Samsung m35,5,"Best budget phone under 16k .
Good camera
Good screen
Good battery backup
Good sound
Weight is littile more compare to other phone buy you will feel someting  strong in your hand.
Back panel looks cool.
It feel hot when you use phone during charging .
Overall nice phone 4.2/5."
32,Mixed feelings...,3,"This mobile's battery performance is disappointing, as it drains quickly. My previous Vivo V21 had excellent battery life. Additionally, this mobile heats up during normal activities like watching YouTube videos. On the positive side, the camera quality is decent for the price, and the display is bright and vibrant. However, the phone is quite heavy. Should have gone for Motorola Edge 50 Neo or Pro"
33,At last punch hole display in budget from Samsung,5,"Display, camera, processor, speakers, network all things are as per Samsung standards. It has NFC so can use samsung wallet for payment. Totally value for money if u can get 256 gb varient at around 20k. A must buy for Samsung fans."
34,For samsung fan,5,Purchased 1week ago.. Front Camara is ok back is good. Currently working smoothly. If you using more then hour feel phone is Heating. Most important adopter is not their with phone. Don't know why Samsung is not providing. This is very disappointment. Hay samsung please re-think on this. Overall a good phone specially for Samsung users.
35,Satisfied 😌!,5,"Good software update promises !!!
Clean UI !!
Super built quality !!
Amazing screen experience !!
Sounds great & loud !!
Slightly heavy (due to 6000 mah battery) but feels good in hand!!
In display fingerprint sensor could have been added!!"
36,Best beast under 20K,5,"This is a good ""Beast"" mobile under 20k (my configuration: 8 GB/128 GB). I bought this for my wife and she is comparing it with her previous mobile S20FE and giving it 5/5. Best product for normal day-to-day usage with a bigger battery, great display, and good camera setup. One UI, as usual, is working great."
37,Takes too much time to charge,3,"Purchased in prime day sale. Everything is fine. As Charger has not been provided by Samsung, So, I am charging it with the my old device Charger, which is 33W type A-C. It takes three hours to reach from 10 % to 100%. This is the biggest problem I am facing with this Galaxy M35 5g."
38,Little bit bulky but Overall a Good Phone,5,"Little bit bulky but Overall a Good Phone
Battery backup is not as expected like 6000Mah, battery running only 1Day in day 2 day uses"
39,Monster phone 🔥🔥🔥,5,"The phone is good in its segment. Stereo speakers, amoled display with 120 Hz refresh rate, feature rich one ui.
Screen: 4.5/5
Performance: 3.75/5
Battery: 5/5
Camera: 4/5
Build and design: 4/5
But no good lock module support, some bloatware but you can remove most of them."
40,Excellent mobile at this price range🙂,5,The phone is really good both performance wise and outlook design wise. Im sure this will not disappoint you for any reason. So anybody is looking to buy a mobile phone under 20k. Samsung Galaxy M35 is one among the best choice and you can go for it without any second thought.
41,Absolutely best balanced Smartphone by Samsung🔥,5,"Performance- 10/10
Battery🔋- 10/10
Camera📸- 10/10
Display- 10/10
Volume- 10/10
Overall best phone under 20k by Samsung. Everyone talking about Exynos 1380 is poor having heating issues but believe me this phone is very little heating and this much happens in every phone. And vapour cooling chamber helps a lot.
Totally satisfied with this product 😍😍"
42,Monster # Satisfied # Good Model.,5,"The Galaxy M35 5g big Monster
Design. 4/5
Display . 4.5/5
Camera 📷 4/5
Performance. 5/5
Battery backup🔋. 5/5
Gorilla victus+ Glass
Feel better than reviewed videos.
Iam using Galaxy M51 from 4 years almost."
43,Best Performing Phone Under 20k Budget,5,"Excellent phone with fast charging and very good battery life.
Pros:
• Awesome camera quality
• Large display
• Best Performance
• No hanging issues
• Value for money"
44,Good phone and Amazon offer,5,"Good midrange phone below 20k range hope samsung will give stable 4yr updates.
Pros :
Battery
OS
Cons :
Ip rating
No inbox charger"
45,Good,5,"Photos clicked are decent, Little bit heavier, charges slowly, no power adaptor given, otherwise good phone."
46,Best camera phone,5,"Smooth display, best selfi and primary camera, look sexy , no leg problem, go ahead with this samsung phone"
47,"Very good phone, good looking",5,Phone is good but amazon did not provide any cashback on this which they said to give to the earlier Samsung M series user
48,Best Phone from Samsung,5,"Display 5/5
Camera 3.5/5
Battery 4.5/5
Performance 5/5
Speakers 5/5
Over all experience 4.5/5
Only cons is
25W slow charging
Slow Camera shutter
No charger, no screen guard, no case
Amazon didnot provide a proper invoice mentioning the IMEI number
The outer delivery bag was damaged but I still accepted the parcel. Bill/invoice missing. IMEI number missing on the soft copy invoice"
49,Good phone under budget,5,"I was using m31 and now this is my upgrade in M series only and I've got so many upgrades in one ui , and the ui is very much comfortable."
50,Overall is perfect,5,"Everything is perfect. Excellent camera . Battery backup awesome.
Only cons is adapter missing."
51,Value for money phone,5,"Great display  and battery. Work smooth in daily use, great value for money phone with 8GB RAM and 256 GB ROM for Samsung fans."
52,Super phone in the range of 20k budget,5,"I bought this on launch day 8/128 at 18500 with 3000 rs off and after using it for 7days im posting this. Look is really awesome amd feel like Iphone..Must go for it,  its is totally different from other series"
53,Just go for it 👍,4,"Pros:
Excellent Performance with Exynos 1380 octa-core processor.. 6.6-inch FHD+ Super AMOLED display with a 1080×2340 pixels resolution,120Hz refresh rate,Corning Gorilla Glass Victus+ layer, and 1,000 nits peak brightness. Triple camera setup with a 50MP main camera, an 8MP ultra-wide lens, and a 2MP macro lens.The 13MP front camera is Good.The rear camera can shoot 4K videos at 30fps.6000mAh Battery with Superfast 25W charging speeds..
Dolby Atmos, Knox Vault security, Samsung Wallet, and a vapour cooling chamber &
4 years of OS upgrades and 5 years of security patches with this phone..
Cons:
3.5mm Headphone Jack not available."
54,Best budget phone,5,"Except 25w Charging, and bit heating issue,phone is overall good in this segment"
55,Worth to trust on STPL,5,In time delivery and proper product as per expectation.
56,Slimmer and Lighter in use,5,"Very Nice Mobile in this range,
Having very good battery health works all the day,
Finally No heating issues from this Samsung mobile,
Camera - 5/5
Battery - 4.9/5
Performance -4.7/5
Display - 4.2/5"
57,One of Good phone to purchase,5,"I purchased it one week back. It's all good except fast charging.
Battery back up is quite good and last for 2-3 days. camera quality is also nice.
Overall worth buying under this price."
58,Nice phone.. Loved it..,5,"Display,os, and lots of feature.. Top notch.. Nice samsung phone in budget.."
59,Don't buy this phone for the camera,3,"Front camera is very low quality.  I am very disappointed.
  Front Camera- 2/5
  Rear Camera - 3/5
  Battery - 3/5
  Performance - 3/5
  Display - 4/5
  Don't buy this phone for the camera 😔😔😔😔😔"
60,Best phone under 20k,5,"Network connection 5g 4g+ LTE
No network issue.  Best phone
5g network connectivity
I like this phone"
61,Very happy,5,Bought for my husband and he is impressed with the display on 1st day. He will post details after using for a month
62,Best in mobile in the price range,5,Best mobile in the price range ... camara is good and performance is good
63,Amazing Product At this price point.,5,Just go for it. Don't worry about the bazels or phone weight because you'll hardly notice it. Best phone under this category. Got same delivery in 7 hours amazing service by Amazon.
64,Samsung is Back with their Real Monster,5,"After a long time saw the best beast from Samsung.
Its All Rounder except In Display finger Print under 20k.
In my opinion go for it and buy it..its really Worth...."
65,Killer,5,Battery is awesome and very smooth.. overall good experience... charger should in the box..
66,Good phone,5,"Very good camera with excellent screen
good bettery long lasting
no heating at all"
67,Excellent,5,"This phone is good in this price range Generally speaking a standard phone.  Battery is obviously very good as this is 6000mAh.I really like the side mounted finger print sensor, good camera quality."
68,Smartphone related view,5,"This smartphone looks very good
Nice camera quality
Features is also good
M35 5g really good phone
I liked this phone I preferred purchase this phone"
69,Best midrange phone.,5,"Nice phone with some premiums touch.
Camera, battery, interface, features are too good & no heating issue.
But some vibrations felt at back while playing music/video.
Overall good phone to buy from Non-Chinese brand."
70,Worth every penny!,5,Turned out to be better than what i had anticipated
71,Good phone for normal user,5,"Excellent phone, it's for normal user"
72,Just go for it! Budget + Samsung,5,If you want latest budget Samsung phone then just go for it.
73,Nice 5G phone,5,"Nice & Classy 5G phone. No 3.5mm jack port, and no radio."
74,Phone is good,5,"Good camera
Nice display
Battey back up good
No hanging"
75,Super duper mobile all in one m35 mobile,5,Samsung m35 mobile is very good all round mobile
76,Good Phone,5,"Very good camera with excellent screen
Good batery
Long lasting
No heating at all
Best in lite series"
77,All Rounder Mid Range Smartphone in 2024,5,"LIKES 👍
Display
Battery
Camera
Software Optimization
All the best for purchase 🙌"
78,100% Satisfied,5,"Build Quality 👍🏻
Performance 👍🏻"
79,Flagship killer,5,Don't worry about product its amazing nice phone in this budget
80,Much better than many,5,Good phone
81,Smooth experience,5,"Clean, simple and feature rich UI"
82,"In this budget ,its a decent buy",5,.
83,Best product until now from Samsung and Amazon,5,Best product until now
84,Battery drains fast,3,I have been using Samsung for the last 15 years. This phone cost is worth well but some features are missing. It has heating issue & drains fast. Camera clarity lacking.
85,Display,5,Good mobile
86,A decent phone with decent performance.,3,"Don't expect very high for performance from this phone. Gaming is not recommended In this phone. Gaming is not its strength. The camera is good, clicks great photos. This is a phone for mature users."
87,Nice phone,5,Good Phone. Display is very good. Screen is also good for video.
88,Balanced phone at this price,3,"Cons -
1. Design
2. Heavier
3. 3.5 mm jack is missing
Pros -
1. Camera
2. Display
3. Processor"
89,Very great phone,5,"Phone having good Design
Clear camera
Good Battery backup
Nice Performance"
90,"Good phone, long lasting battery, great sound",5,Good phone. I bought it for 19k. It is great for parents. Big screen and loud. Long lasting battery
91,Awesome!,5,Great buy if bought on offers...
92,Best phone,5,Worth buy
93,Good phone,5,"Very good phone with best quality camera
Best battery performance.
Light weight
Best performance"
94,Heating problem,3,Facing heating problem on normal phone usage. Camera is ok and feel lack sometimes
95,A,5,Best all rounder mobile in this price
96,Nice Launch,5,"I purchased this phone and have been using this since 21st July. Battery seems to be good, no heating issue, good camera, hasn’t slowed down yet, processor seems to be good."
97,Wow,5,This is a very good mobile
98,All is ok,3,"Battary life is not ok ,all is best .slight overheating . Actually battary life will be shown after 1 week. Even after 5 days I can say one day battary life that is with midarate use of YouTube and whatsapp . Worst battarylife."
99,Realy monster😎,5,"Battery sound display camera is good
Proccessor is ok"
