,title,rating,content
54,All Rounder Mid Range Smartphone in 2024,5,"LIKES 👍
Display
Battery
Camera
Software Optimization
All the best for purchase 🙌"
55,100% Satisfied,5,"Build Quality 👍🏻
Performance 👍🏻"
56,All is ok,3,"Battary life is not ok ,all is best .slight overheating . Actually battary life will be shown after 1 week. Even after 5 days I can say one day battary life that is with midarate use of YouTube and whatsapp . Worst battarylife."
57,Flagship killer,5,Don't worry about product its amazing nice phone in this budget
58,One of Good phone to purchase,5,"I purchased it one week back. It's all good except fast charging.
Battery back up is quite good and last for 2-3 days. camera quality is also nice.
Overall worth buying under this price."
59,Much better than many,5,Good phone
60,"
Value for money phone
",5,"Great display  and battery. Work smooth in daily use, great value for money phone with 8GB RAM and 256 GB ROM for Samsung fans."
61,"
Super phone in the range of 20k budget
",5,"I bought this on launch day 8/128 at 18500 with 3000 rs off and after using it for 7days im posting this. Look is really awesome amd feel like Iphone..Must go for it,  its is totally different from other series"
62,"
Smooth experience
",5,"Clean, simple and feature rich UI"
63,"
In this budget ,its a decent buy
",5,.
64,"
Battery drains fast
",3,I have been using Samsung for the last 15 years. This phone cost is worth well but some features are missing. It has heating issue & drains fast. Camera clarity lacking.
65,"
Display
",5,Good mobile
66,"
A decent phone with decent performance.
",3,"Don't expect very high for performance from this phone. Gaming is not recommended In this phone. Gaming is not its strength. The camera is good, clicks great photos. This is a phone for mature users."
67,"
Nice phone
",5,Good Phone. Display is very good. Screen is also good for video.
68,"
Satisfied 😌!
",5,"Good software update promises !!!
Clean UI !!
Super built quality !!
Amazing screen experience !!
Sounds great & loud !!
Slightly heavy (due to 6000 mah battery) but feels good in hand!!
In display fingerprint sensor could have been added!!"
69,"
Balanced phone at this price
",3,"Cons -
1. Design
2. Heavier
3. 3.5 mm jack is missing
Pros -
1. Camera
2. Display
3. Processor"
70,Quality,5,I like The smartphone camera is Amazing And Screen is Smooth I like that
71,Little bit bulky but Overall a Good Phone,5,"Little bit bulky but Overall a Good Phone
Battery backup is not as expected like 6000Mah, battery running only 1Day in day 2 day uses"
72,Very great phone,5,"Phone having good Design
Clear camera
Good Battery backup
Nice Performance"
73,"Good phone, long lasting battery, great sound",5,Good phone. I bought it for 19k. It is great for parents. Big screen and loud. Long lasting battery
74,Good phone,5,"Good looking
Big battery
Very good processor
Nice camera
Good build quality"
75,Awesome!,5,Great buy if bought on offers...
76,Best phone,5,Worth buy
77,Good phone,5,"Very good phone with best quality camera
Best battery performance.
Light weight
Best performance"
78,Heating problem,3,Facing heating problem on normal phone usage. Camera is ok and feel lack sometimes
79,A,5,Best all rounder mobile in this price
